pk,tm,player1,college,conf
8,DET,Stanley Johnson,Arizona,P12
20,TOR,Delon Wright,Utah,P12
23,POR,Rondae Hollis-Jefferson,Arizona,P12
30,GSW,Kevon Looney,UCLA,P12
34,LAL,Anthony Brown,Stanford,P12
43,IND,Joe Young,Oregon,P12
46,MIL,Norman Powell,UCLA,P12
3,BOS,Jaylen Brown,California,P12
8,SAC,Marquese Chriss,Washington,P12
9,TOR,Jakob Poeltl,Utah,P12
29,SAS,Dejounte Murray,Washington,P12
60,UTA,Tyrone Wallace,California,P12
1,PHI,Markelle Fultz,Washington,P12
2,LAL,Lonzo Ball,UCLA,P12
7,MIN,Lauri Markkanen,Arizona,P12
18,IND,T.J. Leaf,UCLA,P12
27,BRK,Kyle Kuzma,Utah,P12
29,SAS,Derrick White,Colorado,P12
35,ORL,Ivan Rabb,California,P12
38,CHI,Jordan Bell,Oregon,P12
41,ATL,Tyler Dorsey,Oregon,P12
44,NYK,Damyean Dotson,Oregon,P12
45,HOU,Dillon Brooks,Oregon,P12
47,IND,Ike Anigbogu,UCLA,P12
53,BOS,Kadeem Allen,Arizona,P12
56,BOS,Jabari Bird,California,P12
1,PHO,Deandre Ayton,Arizona,P12
15,WAS,Troy Brown Jr.,Oregon,P12
23,IND,Aaron Holiday,UCLA,P12
46,HOU,De'Anthony Melton,USC,P12
49,SAS,Chimezie Metu,USC,P12
58,DEN,Thomas Welsh,UCLA,P12
59,PHO,George King,Colorado,P12
30,MIL,Kevin Porter Jr.,USC,P12
32,PHO,KZ Okpala,Stanford,P12
43,MIN,Jaylen Nowell,Washington,P12
44,MIA,Bol Bol,Oregon,P12
56,LAC,Jaylen Hands,UCLA,P12
6,ATL,Onyeka Okongwu,USC,P12
16,POR,Isaiah Stewart,Washington,P12
18,DAL,Josh Green,Arizona,P12
22,DEN,Zeke Nnaji,Arizona,P12
26,BOS,Payton Pritchard,Oregon,P12
28,LAL,Jaden McDaniels,Washington,P12
31,DAL,Tyrell Terry,Stanford,P12
36,PHI,Tyler Bey,Colorado,P12
46,POR,CJ Elleby,Washington State,P12
48,GSW,Nico Mannion,Arizona,P12
44,DAL,Mike Muscala,Bucknell,Pat
10,POR,CJ McCollum,Lehigh,Pat
46,SEA,Trent Plaisted,Brigham Young University Hawaii,PWC
28,BOS,R.J. Hunter,Georgia State University,SB
57,OKC,Kevin Hervey,UT Arlington,SB
10,PHI,Elfrid Payton,Louisiana,SB
13,PHO,Devin Booker,Kentucky,SEC
12,UTA,Trey Lyles,Kentucky,SEC
6,SAC,Willie Cauley-Stein,Kentucky,SEC
1,MIN,Karl-Anthony Towns,Kentucky,SEC
58,SAS,Jordan McRae,Tennessee,SEC
46,WAS,Jordan Clarkson,Missouri,SEC
41,ORL,Jarred Vanderbilt,Kentucky,SEC
36,MIL,Johnny O'Bryant,LSU,SEC
35,UTA,Jarnell Stokes,Tennessee,SEC
45,BRK,Hamidou Diallo,Kentucky,SEC
35,LAC,DeAndre Jordan,Texas A&M,SEC
17,BOS,James Young,Kentucky,SEC
40,MEM,Robert Woodard,Mississippi State,SEC
7,LAL,Julius Randle,Kentucky,SEC
57,PHO,Alex Oriakhi,Missouri,SEC
49,CHI,Erik Murphy,Florida,SEC
29,OKC,Archie Goodwin,Kentucky,SEC
16,PHI,Marreese Speights,Florida,SEC
42,NOP,Nick Richards,Kentucky,SEC
21,PHI,Tyrese Maxey,Kentucky,SEC
38,UTA,Saben Lee,Vanderbilt,SEC
33,BOS,Jordan Mickey,LSU,SEC
27,BOS,Robert Williams,Texas A&M,SEC
25,MEM,Jarell Martin,LSU,SEC
22,CHI,Bobby Portis,Arkansas,SEC
8,CLE,Collin Sexton,Alabama,SEC
9,NYK,Kevin Knox,Kentucky,SEC
30,GSW,Damian Jones,Vanderbilt,SEC
11,CHO,Shai Gilgeous-Alexander,Kentucky,SEC
28,PHO,Skal Labissière,Kentucky,SEC
14,DEN,Michael Porter Jr.,Missouri,SEC
9,CHI,Joakim Noah,Florida,SEC
17,MEM,Wade Baldwin,Vanderbilt,SEC
7,DEN,Jamal Murray,Kentucky,SEC
1,PHI,Ben Simmons,LSU,SEC
48,OKC,Dakari Johnson,Kentucky,SEC
44,PHO,Andrew Harrison,Kentucky,SEC
8,DET,Kentavious Caldwell-Pope,Georgia,SEC
6,NOH,Nerlens Noel,Kentucky,SEC
5,CLE,Darius Garland,Vanderbilt,SEC
59,SAS,Marcus Denmon,Missouri,SEC
46,NOH,Darius Miller,Kentucky,SEC
